type,name,year,asset_id,title,artist
partial_10_year,"14-Year Old, Streaming-Driven Hip-Hop",,4089,178.0,
life_of_rights,"Songwriter Royalties featuring ScHoolboy Q, Future, Lil Xan, Kendrick Lamar",,4873,16.0,
life_of_rights,"""20 Joints"" By Berner + More Songwriter Royalties",,4884,37.0,
life_of_rights,"Songwriter Royalties feat. Youngboy NBA, Rod Wave",,4876,5.0,
life_of_rights,Passion Pit Producer Royalties,,4846,35.0,
life_of_rights,"The Hour, Craig David + More Publishing Royalties",,4802,33.0,
life_of_rights,Hip-Hop Publishing Royalties Featuring Gunna,,4863,52.0,
life_of_rights,Diverse Catalog Placed in TV/Film,,4800,269.0,
30_year,"Songwriter Royalties - YNW Melly's ""Butter Pecan""",,4840,2.0,
30_year,Performance Royalties: Hip-Hop From V.I.C & Troop 41,,4839,4.0,
life_of_rights,Cues From The Rachel Ray Show + More,,4823,85.0,
life_of_rights,International Pop Songwriter Royalties,,4726,2.0,
life_of_rights,"Buffet Boys Writer Share ft Pouya, Shakewell , & Bexey",,4434,10.0,
life_of_rights,Rock Band -  Cage The Elephant - Publishing Royalties,,4827,46.0,
life_of_rights,"Hip-Hop Publishing Royalties: Rod Wave, Youngboy NBA + More",,4821,5.0,
10_year,Tech N9ne - Songwriter Royalties,,4814,17.0,
life_of_rights,"Songwriter Royalties - Chris Brown, Lotto, + More",,4557,13.0,
life_of_rights,"""I'm Leaving"" By Rileyy Lanez",,4826,2.0,
life_of_rights,Songwriter Royalties Featuring DJ Todd Terry,,4764,490.0,
